X,Y,Z,PointSourceId,ScanAngleRank,ScanDirectionFlag,NumberOfReturns,ReturnNumber,GpsTime,Intensity
978042.25000000,171191.10000610,116.69999695,42.000000,-12.000000,1.000000,1.000000,1.000000,61264.916165,1707.000000
978025.09000015,171172.72000122,122.34999847,56.000000,7.000000,1.000000,1.000000,1.000000,59696.820950,1628.000000
978060.63000107,171210.27999878,108.29000092,18.000000,-23.000000,1.000000,1.000000,1.000000,63836.970364,1636.000000
978024.60000038,171209.61999512,114.08999634,18.000000,-25.000000,1.000000,1.000000,1.000000,63836.790433,1408.000000
978029.22999954,171218.22999573,115.48000336,82.000000,6.000000,1.000000,1.000000,1.000000,71255.297024,1686.000000
978030.25000000,171177.82000732,122.01999664,58.000000,-19.000000,1.000000,1.000000,1.000000,59429.283841,1616.000000
978014.72999954,171178.97000122,114.01000214,57.000000,7.000000,1.000000,1.000000,1.000000,59595.365872,1702.000000
978028.37999916,171167.88999939,121.00000000,80.000000,-23.000000,1.000000,1.000000,1.000000,71488.569485,1666.000000
978067.94999695,171216.19999695,104.44999695,15.000000,-15.000000,1.000000,1.000000,1.000000,64222.702786,1507.000000
978045.59000015,171166.67999268,109.06999969,17.000000,12.000000,1.000000,1.000000,1.000000,63980.485989,1554.000000
978054.65000153,171160.33000183,92.84999847,57.000000,4.000000,1.000000,2.000000,1.000000,59595.463528,1238.000000
978050.66999817,171229.58999634,119.12999725,80.000000,-20.000000,1.000000,1.000000,1.000000,71488.756009,1585.000000
978026.76000023,171173.39999390,123.34999847,58.000000,-19.000000,1.000000,1.000000,1.000000,59429.231106,1615.000000
978012.97999954,171208.58000183,106.44999695,83.000000,-18.000000,1.000000,1.000000,1.000000,71141.125149,1515.000000
978051.56999969,171184.52999878,108.86000061,80.000000,-22.000000,1.000000,1.000000,1.000000,71488.426907,1594.000000
978033.88999939,171202.53999329,121.98999786,41.000000,-1.000000,1.000000,1.000000,1.000000,61355.343167,1615.000000
978034.90999985,171162.11999512,115.45999908,81.000000,13.000000,1.000000,1.000000,1.000000,71408.143704,1689.000000
978069.87999725,171209.82000732,96.22000122,59.000000,30.000000,1.000000,1.000000,1.000000,59315.693020,1907.000000
978015.25000000,171216.71000671,106.18000031,15.000000,-13.000000,1.000000,1.000000,1.000000,64223.145169,1711.000000
978029.60000038,171198.02999878,120.12000275,83.000000,-18.000000,1.000000,1.000000,1.000000,71141.365384,1656.000000
978058.00000000,171217.82000732,111.63999939,18.000000,-24.000000,1.000000,1.000000,1.000000,63837.060452,1501.000000
978043.50999832,171222.44999695,122.54000092,57.000000,5.000000,1.000000,1.000000,1.000000,59594.916165,1677.000000
