Id,Label,Depth
13232,13232,3
86130,86130,3
18667,18667,3
64446,64446,3
18622,18622,3
17483,17483,3
36336,36336,4
91252,91252,4
36429,36429,4
76413,76413,4
3733,3733,4
48258,48258,4
25991,25991,2
90322,90322,3
55022,55022,3
61460,61460,3
59993,59993,3
99950,99950,3
47870,47870,3
55581,55581,3
5279,5279,3
84466,84466,4
47502,47502,4
87211,87211,4
22332,22332,4
81527,81527,4
13041,13041,4
62892,62892,2
49171,49171,3
72518,72518,3
600,600,3
90703,90703,3
11816,11816,3
63136,63136,3
97761,97761,3
1084,1084,3
14747,14747,4
91057,91057,4
43650,43650,4
79048,79048,4
86133,86133,4
58101,58101,4
60644,60644,2
991,991,3
67951,67951,3
95642,95642,3
6035,6035,3
14085,14085,3
85084,85084,3
83339,83339,3
40133,40133,3
92075,92075,4
48065,48065,4
72330,72330,4
94288,94288,4
65098,65098,4
19990,19990,4
50198,50198,2
15542,15542,3
2363,2363,3
21127,21127,3
48193,48193,3
6581,6581,3
10055,10055,3
65057,65057,3
90496,90496,3
295,295,4
34236,34236,4
80351,80351,4
49286,49286,4
17688,17688,4
83562,83562,4
19794,19794,2
36646,36646,3
50989,50989,3
18430,18430,3
60815,60815,3
42901,42901,3
18786,18786,3
14090,14090,3
19272,19272,3
35193,35193,4
41397,41397,4
47301,47301,4
29778,29778,4
49134,49134,4
73209,73209,4
7627,7627,1
58555,58555,2
52721,52721,3
61442,61442,3
67080,67080,3
34491,34491,3
28910,28910,3
14585,14585,3
74499,74499,3
8345,8345,3
65277,65277,4
92154,92154,4
15148,15148,4
6436,6436,4
87882,87882,4
65714,65714,4
8552,8552,2
44761,44761,3
28394,28394,3
35624,35624,3
78322,78322,3
69671,69671,3
47026,47026,3
67348,67348,3
60592,60592,3
77369,77369,4
55662,55662,4
75062,75062,4
49198,49198,4
70237,70237,4
14848,14848,4
48821,48821,2
7500,7500,3
67766,67766,3
99729,99729,3
62351,62351,3
69075,69075,3
49367,49367,3
47180,47180,3
97372,97372,3
